time,t,data/C776_2.csv
2013 Jan,2013-01-31,0.1858850429049267
2013 Feb,2013-02-28,0.1980550734882882
2013 Mar,2013-03-31,0.24244888722993013
2013 Apr,2013-04-30,0.25697320698141424
2013 May,2013-05-31,0.15495107726732515
2013 Jun,2013-06-30,0.014566011956551939
2013 Jul,2013-07-31,0.02440340823048026
2013 Aug,2013-08-31,0.07263080867445437
2013 Sep,2013-09-30,0.07718780299987471
2013 Oct,2013-10-31,0.12078241711301618
2013 Nov,2013-11-30,0.3011398702782636
2013 Dec,2013-12-31,0.3869689026931278
2014 Jan,2014-01-31,0.334790618395588
2014 Feb,2014-02-28,0.25932005229186234
2014 Mar,2014-03-31,0.2743004775044888
2014 Apr,2014-04-30,0.2170152556993995
2014 May,2014-05-31,0.09042568880235025
2014 Jun,2014-06-30,0.09770645832227831
2014 Jul,2014-07-31,0.2481637397808915
2014 Aug,2014-08-31,0.3367941439672334
2014 Sep,2014-09-30,0.2810459659861919
2014 Oct,2014-10-31,0.12507007913348867
2014 Nov,2014-11-30,0.2271583012808689
2014 Dec,2014-12-31,0.3723763475796281
2015 Jan,2015-01-31,0.4616231257385574
2015 Feb,2015-02-28,0.4692578168551881
2015 Mar,2015-03-31,0.3915249947327693
2015 Apr,2015-04-30,0.22072229682126654
2015 May,2015-05-31,0.11682363825888664
2015 Jun,2015-06-30,0.326317252647638
2015 Jul,2015-07-31,0.46172192603132717
2015 Aug,2015-08-31,0.40546350544242005
2015 Sep,2015-09-30,0.2602180522131324
2015 Oct,2015-10-31,0.12111536056536354
2015 Nov,2015-11-30,0.23905448813038932
2015 Dec,2015-12-31,0.463904104187159
2016 Jan,2016-01-31,0.3999749010504725
2016 Feb,2016-02-29,0.328082349202257
2016 Mar,2016-03-31,0.2669310584068016
2016 Apr,2016-04-30,0.18992705762214301
2016 May,2016-05-31,0.11855196666802281
2016 Jun,2016-06-30,0.08778041247059076
2016 Jul,2016-07-31,0.05936856115595346
2016 Aug,2016-08-31,0.10293069298106117
2016 Sep,2016-09-30,0.1228220341158105
2016 Oct,2016-10-31,0.2770786154171646
2016 Nov,2016-11-30,0.49066770495552137
2016 Dec,2016-12-19,0.5166846642419938
