time,t,data/E1_86.csv
2010 W39,2010-10-03,0.087719298245614
2010 W40,2010-10-10,0.0470588235294118
2010 W41,2010-10-17,0.08
2010 W42,2010-10-24,0.037037037037037
2010 W43,2010-10-31,0.0103092783505155
2010 W44,2010-11-07,0.0178571428571429
2010 W45,2010-11-14,0.0319148936170213
2010 W46,2010-11-21,0.0495049504950495
2010 W47,2010-11-28,0.0510204081632653
2010 W48,2010-12-05,0.0396039603960396
2010 W49,2010-12-12,0.0240963855421687
2010 W50,2010-12-19,0.058139534883721
2010 W51,2010-12-26,0.0350877192982456
2010 W52,2011-01-02,0.0736842105263158
2011 W01,2011-01-09,0.206896551724138
2011 W02,2011-01-16,0.202127659574468
2011 W03,2011-01-23,0.266666666666666
2011 W04,2011-01-30,0.25
2011 W05,2011-02-06,0.288135593220339
2011 W06,2011-02-13,0.270833333333333
2011 W07,2011-02-20,0.20440251572327
2011 W08,2011-02-27,0.194244604316547
2011 W09,2011-03-06,0.186274509803922
2011 W10,2011-03-13,0.138095238095238
2011 W11,2011-03-20,0.0778443113772455
2011 W12,2011-03-27,0.0794701986754966
2011 W13,2011-04-03,0.020618556701031
2011 W14,2011-04-10,0.0261437908496732
2011 W15,2011-04-17,0.0204081632653061
2011 W16,2011-04-24,0.037037037037037
2011 W17,2011-05-01,0.0202020202020202
2011 W18,2011-05-08,0.0602409638554217
2011 W19,2011-05-15,0.0177514792899408
2011 W20,2011-05-22,0
2011 W21,2011-05-29,0.0238095238095238
2011 W22,2011-06-05,0.010989010989011
2011 W23,2011-06-12,0.0230769230769231
2011 W24,2011-06-19,0.0265486725663717
2011 W25,2011-06-26,0.0306122448979592
2011 W26,2011-07-03,0.0223880597014925
2011 W27,2011-07-10,0.0087719298245614
2011 W28,2011-07-17,0.00869565217391304
2011 W29,2011-07-24,0.0384615384615385
2011 W30,2011-07-31,0.0241935483870968
2011 W31,2011-08-07,0.008
2011 W32,2011-08-14,0.01
2011 W33,2011-08-21,0
2011 W34,2011-08-28,0
2011 W35,2011-09-04,0
2011 W36,2011-09-11,0
2011 W37,2011-09-18,0
2011 W38,2011-09-25,0.00854700854700855
2011 W39,2011-10-02,0.0181818181818182
2011 W40,2011-10-09,0.010752688172043
2011 W41,2011-10-16,0.024390243902439
2011 W42,2011-10-23,0.00833333333333333
2011 W43,2011-10-30,0.0223880597014926
2011 W44,2011-11-06,0.0188679245283019
2011 W45,2011-11-13,0.0423728813559322
2011 W46,2011-11-20,0.0357142857142857
2011 W47,2011-11-27,0.06
2011 W48,2011-12-04,0.11304347826087
2011 W49,2011-12-11,0.0777777777777777
2011 W50,2011-12-18,0.0782608695652174
2011 W51,2011-12-25,0.223300970873786
2011 W52,2012-01-01,0.241379310344828
2012 W01,2012-01-08,0.295918367346939
2012 W02,2012-01-15,0.240506329113924
2012 W03,2012-01-22,0.355932203389831
2012 W04,2012-01-29,0.298076923076923
2012 W05,2012-02-05,0.288888888888888
2012 W06,2012-02-12,0.230263157894736
2012 W07,2012-02-19,0.333333333333334
2012 W08,2012-02-26,0.360215053763441
2012 W09,2012-03-04,0.427631578947368
2012 W10,2012-03-11,0.376712328767124
2012 W11,2012-03-18,0.265151515151515
2012 W12,2012-03-25,0.291970802919708
2012 W13,2012-04-01,0.229166666666666
2012 W14,2012-04-08,0.091743119266055
2012 W15,2012-04-15,0.159574468085106
2012 W16,2012-04-22,0.0865384615384615
2012 W17,2012-04-29,0.154639175257732
2012 W18,2012-05-06,0.202702702702703
2012 W19,2012-05-13,0.216216216216216
2012 W20,2012-05-20,0.196428571428571
2012 W21,2012-05-27,0.288
2012 W22,2012-06-03,0.285714285714286
2012 W23,2012-06-10,0.22962962962963
2012 W24,2012-06-17,0.258333333333333
2012 W25,2012-06-24,0.339130434782609
2012 W26,2012-07-01,0.269565217391304
2012 W27,2012-07-08,0.19672131147541
2012 W28,2012-07-15,0.078740157480315
2012 W29,2012-07-22,0.0352941176470588
2012 W30,2012-07-29,0.0843373493975903
2012 W31,2012-08-05,0.0229885057471264
2012 W32,2012-08-12,0.0267857142857143
2012 W33,2012-08-19,0.0202020202020202
2012 W34,2012-08-26,0.0446428571428571
2012 W35,2012-09-02,0.0229885057471264
2012 W36,2012-09-09,0
2012 W37,2012-09-16,0
2012 W38,2012-09-23,0.00892857142857143
2012 W39,2012-09-30,0
2012 W40,2012-10-07,0
2012 W41,2012-10-14,0.00833333333333333
2012 W42,2012-10-21,0
2012 W43,2012-10-28,0
2012 W44,2012-11-04,0
2012 W45,2012-11-11,0
2012 W46,2012-11-18,0
2012 W47,2012-11-25,0
2012 W48,2012-12-02,0
2012 W49,2012-12-09,0
2012 W50,2012-12-16,0.00806451612903226
2012 W51,2012-12-23,0.01
2012 W52,2012-12-30,0.0103191489361702
2013 W01,2013-01-06,0.0106382978723404
2013 W02,2013-01-13,0.00806451612903226
2013 W03,2013-01-20,0.0381679389312977
2013 W04,2013-01-27,0.0482758620689655
2013 W05,2013-02-03,0.0575539568345324
2013 W06,2013-02-10,0.0631578947368421
2013 W07,2013-02-17,0.0481927710843374
2013 W08,2013-02-24,0.126666666666667
2013 W09,2013-03-03,0.100671140939597
2013 W10,2013-03-10,0.180232558139535
2013 W11,2013-03-17,0.10738255033557
2013 W12,2013-03-24,0.136986301369863
2013 W13,2013-03-31,0.126760563380282
2013 W14,2013-04-07,0.106666666666667
2013 W15,2013-04-14,0.152073732718894
2013 W16,2013-04-21,0.195020746887967
2013 W17,2013-04-28,0.205426356589147
2013 W18,2013-05-05,0.202898550724637
2013 W19,2013-05-12,0.1875
2013 W20,2013-05-19,0.154228855721393
2013 W21,2013-05-26,0.0957446808510638
2013 W22,2013-06-02,0.0989399293286219
2013 W23,2013-06-09,0.129963898916967
2013 W24,2013-06-16,0.0610328638497653
2013 W25,2013-06-23,0.0494296577946768
2013 W26,2013-06-30,0.0842105263157895
2013 W27,2013-07-07,0.1003861003861
2013 W28,2013-07-14,0.0865800865800866
2013 W29,2013-07-21,0.055749128919860703
2013 W30,2013-07-28,0.0950920245398773
2013 W31,2013-08-04,0.0816326530612245
2013 W32,2013-08-11,0.0652173913043478
2013 W33,2013-08-18,0.111731843575419
2013 W34,2013-08-25,0.0626865671641791
2013 W35,2013-09-01,0.11044776119403
2013 W36,2013-09-08,0.131736526946108
2013 W37,2013-09-15,0.154302670623146
2013 W38,2013-09-22,0.205298013245033
2013 W39,2013-09-29,0.140540540540541
2013 W40,2013-10-06,0.2
2013 W41,2013-10-13,0.107594936708861
2013 W42,2013-10-20,0.0941558441558442
2013 W43,2013-10-27,0.132450331125828
2013 W44,2013-11-03,0.113924050632911
2013 W45,2013-11-10,0.131578947368421
2013 W46,2013-11-17,0.138613861386138
2013 W47,2013-11-24,0.112994350282486
2013 W48,2013-12-01,0.147632311977715
2013 W49,2013-12-08,0.134939759036144
2013 W50,2013-12-15,0.133507853403142
2013 W51,2013-12-22,0.161931818181818
2013 W52,2013-12-29,0.234741784037559
2014 W01,2014-01-05,0.251131221719457
2014 W02,2014-01-12,0.263157894736842
2014 W03,2014-01-19,0.331719128329298
2014 W04,2014-01-26,0.282167042889391
2014 W05,2014-02-02,0.225806451612903
2014 W06,2014-02-09,0.203488372093023
2014 W07,2014-02-16,0.214446952595937
2014 W08,2014-02-23,0.227956989247312
2014 W09,2014-03-02,0.257606490872211
2014 W10,2014-03-09,0.28041237113402
2014 W11,2014-03-16,0.278325123152709
2014 W12,2014-03-23,0.25
2014 W13,2014-03-30,0.267175572519084
2014 W14,2014-04-06,0.192546583850932
2014 W15,2014-04-13,0.122015915119363
2014 W16,2014-04-20,0.144670050761421
2014 W17,2014-04-27,0.13953488372093
2014 W18,2014-05-04,0.106741573033708
2014 W19,2014-05-11,0.115384615384615
2014 W20,2014-05-18,0.154518950437317
2014 W21,2014-05-25,0.12565445026178
2014 W22,2014-06-01,0.134831460674158
2014 W23,2014-06-08,0.166163141993958
2014 W24,2014-06-15,0.228650137741047
2014 W25,2014-06-22,0.246648793565683
2014 W26,2014-06-29,0.257534246575342
2014 W27,2014-07-06,0.240112994350282
2014 W28,2014-07-13,0.245179063360882
2014 W29,2014-07-20,0.165311653116531
2014 W30,2014-07-27,0.132275132275132
2014 W31,2014-08-03,0.0949868073878628
2014 W32,2014-08-10,0.0683060109289617
2014 W33,2014-08-17,0.0340909090909091
2014 W34,2014-08-24,0.0248618784530386
2014 W35,2014-08-31,0.0284090909090909
2014 W36,2014-09-07,0.0594594594594595
2014 W37,2014-09-14,0.0227272727272727
2014 W38,2014-09-21,0.0225988700564971
2014 W39,2014-09-28,0.030985915492957702
2014 W40,2014-10-05,0.00352112676056338
2014 W41,2014-10-12,0.0207715133531157
2014 W42,2014-10-19,0.0285714285714286
2014 W43,2014-10-26,0.0488505747126437
2014 W44,2014-11-02,0.00600600600600601
2014 W45,2014-11-09,0.0187667560321716
2014 W46,2014-11-16,0.014792899408284
2014 W47,2014-11-23,0.011142061281337
2014 W48,2014-11-30,0.0182767624020888
2014 W49,2014-12-07,0.0191256830601093
2014 W50,2014-12-14,0.0188679245283019
2014 W51,2014-12-21,0.0303030303030303
2014 W52,2014-12-28,0.0239361702127659
2015 W01,2015-01-04,0.0694006309148265
2015 W02,2015-01-11,0.0679886685552408
2015 W03,2015-01-18,0.122507122507123
2015 W04,2015-01-25,0.0992167101827676
2015 W05,2015-02-01,0.0672043010752688
2015 W06,2015-02-08,0.0882352941176471
2015 W07,2015-02-15,0.0321782178217822
2015 W08,2015-02-22,0.0419847328244275
2015 W09,2015-03-01,0.0518731988472623
2015 W10,2015-03-08,0.0628415300546448
2015 W11,2015-03-15,0.0549450549450549
2015 W12,2015-03-22,0.0538243626062323
2015 W13,2015-03-29,0.0824468085106383
2015 W14,2015-04-05,0.0664819944598338
2015 W15,2015-04-12,0.0387811634349031
2015 W16,2015-04-19,0.0491329479768786
2015 W17,2015-04-26,0.0541310541310542
2015 W18,2015-05-03,0.0529411764705883
2015 W19,2015-05-10,0.0555555555555555
2015 W20,2015-05-17,0.0483383685800604
2015 W21,2015-05-24,0.0645161290322581
2015 W22,2015-05-31,0.127167630057804
2015 W23,2015-06-07,0.209366391184573
2015 W24,2015-06-14,0.324396782841823
2015 W25,2015-06-21,0.435483870967742
2015 W26,2015-06-28,0.43041237113402
2015 W27,2015-07-05,0.389204545454546
2015 W28,2015-07-12,0.289808917197452
2015 W29,2015-07-19,0.160458452722063
2015 W30,2015-07-26,0.0789473684210526
2015 W31,2015-08-02,0.0657142857142858
2015 W32,2015-08-09,0.0632183908045978
2015 W33,2015-08-16,0.0681198910081744
2015 W34,2015-08-23,0.0478873239436619
2015 W35,2015-08-30,0.0391644908616188
2015 W36,2015-09-06,0.0326086956521739
2015 W37,2015-09-13,0.0435967302452316
2015 W38,2015-09-20,0.0167130919220056
2015 W39,2015-09-27,0.016260162601626
2015 W40,2015-10-04,0.0191780821917808
